Longitude,Latitude
15.090631,38.124089
15.26532,37.993824
15.384801,37.898426
15.65187,37.551306
15.774589,37.454346
15.950799,37.075665
15.946173,36.99481
15.98197,36.918837
16.100258,36.740211
16.158709,36.650982
16.344847,36.649197
16.711182,36.573459
16.83841,36.484419
17.076591,36.496671
17.187917,36.598035
17.299463,36.699303
17.411269,36.800463
17.523505,36.901467
17.63604,37.002352
17.748638,37.103185
17.861507,37.203906
17.974499,37.304555
17.960485,37.495491
18.175187,37.887155
18.289965,37.987346
18.404648,38.087529
18.519587,38.187594
18.634515,38.28762
18.621411,38.478773
18.493103,38.569785
18.364124,38.66077
18.234162,38.751805
18.103952,38.842688
17.973718,38.933358
17.84365,39.023747
17.713358,39.113971
17.582357,39.204167
17.451051,39.294215
17.319215,39.384173
17.206292,39.282292
16.852204,39.166866
16.49035,39.238752
16.132686,39.308251
16.024946,39.204329
15.915897,39.100712
15.928596,38.911721
15.724132,38.515475
15.612021,38.412719
15.500563,38.309769
15.154304,38.189013
15.090631,38.124089
