"V1","V2","V3"
186.702285590479,-14.5935856719179,0.001
186.377084993668,-14.8941498859408,50
187.021487452545,-14.8850309206197,0.001
186.726534959964,-15.173283664648,50
187.367651191378,-15.201093467582,0.001
187.055520642113,-15.436070998094,50
187.628380694332,-15.6323491579911,0.001
187.201724062389,-15.7598356968661,50
187.672994393329,-16.1156641768687,0.001
187.231319742202,-16.1532842294408,50
187.715832570348,-16.5797444422005,0.001
187.263343513269,-16.5790119845332,50
187.67148456112,-17.0504370462147,0.001
187.216107432185,-16.9974036453997,50
187.599803032251,-17.4984465786955,0.001
187.151631559477,-17.4176084828208,50
187.494290901136,-17.9360678455588,0.001
187.05184365825,-17.8264862736639,50
187.365418472222,-18.3613468685036,0.001
186.924764544315,-18.241081879916,50
187.238712898578,-18.7794752581811,0.001
186.79641928743,-18.659808280086,50
187.113927382302,-19.1945168392804,0.001
186.666902086827,-19.0745876568831,50
186.989135744105,-19.612935876766,0.001
186.536008684494,-19.4859669292821,50
186.862672729024,-20.0369589328457,0.001
186.409033715257,-19.8850311149317,50
186.672170292482,-20.4418366185329,0.001
186.240576337869,-20.2666118884707,50
186.470016815944,-20.838368437428,0.001
186.053274646433,-20.6660614103178,50
186.28880559555,-21.2343278449957,0.001
185.866998194121,-21.0881658107652,50
186.147587554158,-21.6579819645809,0.001
185.711728596054,-21.5233580612987,50
185.99915639222,-22.1032754577248,0.001
185.564112927439,-21.9370977379667,50
185.760393301929,-22.5279245813893,0.001
185.350842061465,-22.3265502134415,50
185.521232638685,-22.9174148024771,0.001
185.125733754442,-22.7269336921951,50
185.282352740178,-23.3068649632395,0.001
184.898280950242,-23.1334604513884,50
185.09433384258,-23.7026942242429,0.001
184.690693588773,-23.5417916408081,50
184.914875252968,-24.0805017669784,0.001
184.474762642791,-23.9665349492743,50
184.850560150681,-24.4924338608282,0.001
184.397811938449,-24.4349182797381,50
184.78658395899,-24.931127750949,0.001
184.335370509403,-24.8741614195224,50
184.716330110366,-25.3661881538098,0.001
184.274381723387,-25.308882970375,50
184.644520476823,-25.797045958458,0.001
184.21304050509,-25.7484950255552,50
184.5868350913,-26.2384686526334,0.001
184.157247083004,-26.1985989391965,50
184.564967289595,-26.6867585934978,0.001
184.118643075556,-26.6315153083839,50
184.453940319062,-27.1487535996249,0.001
184.012945092859,-27.0338244184694,50
184.276728455218,-27.5684659223311,0.001
183.835486234845,-27.440111805225,50
184.143594634514,-27.9735243196037,0.001
183.689027435175,-27.8794616519845,50
184.056472539632,-28.3975185228029,0.001
183.601419277989,-28.3251873584469,50
183.966647504047,-28.8346670095215,0.001
183.516599118345,-28.7567285125652,50
183.870698504502,-29.2770144288276,0.001
183.423053368794,-29.1818820879947,50
183.725345648417,-29.7130730166938,0.001
183.275818053587,-29.5956640998995,50
183.573137362605,-30.1530822986859,0.001
183.117738941838,-30.0049606961411,50
183.356569388819,-30.5645614473661,0.001
182.918011682733,-30.3993374065246,50
183.143292870713,-30.9697868342321,0.001
182.714127709206,-30.801921858958,50
182.920103181108,-31.3733498461322,0.001
182.498855521389,-31.1978579534925,50
182.677759715149,-31.7691775021378,0.001
182.258103968174,-31.5847800879,50
182.450130020917,-32.1409726634732,0.001
182.014133502535,-31.9983296959543,50
182.324164557509,-32.5396702783443,0.001
181.879950075192,-32.4507195438907,50
182.217003610527,-32.9683140609164,0.001
181.772710657888,-32.8824790312904,50
182.106600625407,-33.4099260161412,0.001
181.673861853604,-33.3012857761636,50
181.908925899628,-33.837780132491,0.001
181.475339209422,-33.6954437129048,50
181.702600332987,-34.2504312672945,0.001
181.264016444599,-34.0969569675575,50
181.497116596625,-34.6613987261548,0.001
181.051270659609,-34.5002991403771,50
181.2665901775,-35.0677380033784,0.001
180.831598028761,-34.9096890410008,50
181.034128927707,-35.4728847524557,0.001
180.612923576698,-35.3172187112201,50
180.801702752197,-35.8779703787639,0.001
180.392504095735,-35.7188042355669,50
180.560593960428,-36.2766193756993,0.001
180.147634859565,-36.1056976303008,50
180.316711397055,-36.6786960267762,0.001
179.904170682627,-36.4903710289944,50
180.060307621439,-37.1014158404081,0.001
179.685834174483,-36.8353426160034,50
